3.902159905433654785e+01,2.501289606094360352e+00,1.110596098899841309e+02
3.822892069816589355e+01,5.294598340988159180e+00,1.097105944156646729e+02
5.487745976448059082e+01,1.842473435401916504e+01,1.248003244400024414e+02
8.435601544380187988e+01,1.225883007049560547e+01,1.129563522338867188e+02
3.030217671394348145e+01,3.494226694107055664e+00,1.052928647994995117e+02
5.739839458465576172e+01,8.132926940917968750e+00,1.138235988616943359e+02
3.593681955337524414e+01,9.680027246475219727e+00,1.179789512157440186e+02
4.576849389076232910e+01,2.646621227264404297e+00,9.648333454132080078e+01
5.524385595321655273e+01,8.488368511199951172e+00,1.319830362796783447e+02
7.698060202598571777e+01,3.455675840377807617e+00,1.010612916946411133e+02
