1.084874500520527363e-03,6.967513472773134708e-04,8.016230422072112560e-04
9.943239856511354446e-04,8.567424374632537365e-04,7.811638643033802509e-04
2.455510664731264114e-03,8.817580528557300568e-04,1.399861997924745083e-03
8.382406085729598999e-04,8.561977883800864220e-04,9.997019078582525253e-04
1.126889255829155445e-03,7.043320219963788986e-04,7.804654305800795555e-04
1.056705485098063946e-03,7.684003794565796852e-04,7.569511653855443001e-04
8.948015747591853142e-04,8.213781402446329594e-04,8.267296943813562393e-04
7.491856813430786133e-04,7.245612796396017075e-04,7.641015108674764633e-04
9.195345919579267502e-04,8.601946756243705750e-04,8.994689560495316982e-04
8.543001604266464710e-04,7.063263910822570324e-04,8.695686119608581066e-04
