3.599555326982747244e-04,1.938311146292487418e-04,1.452241660484719600e-04
6.048360090705751091e-04,3.112103564860901287e-04,1.886600825198604377e-04
6.365683536072773646e-04,2.614470888961874955e-04,1.484950847102947213e-04
4.593707392888633236e-04,1.834549065258722134e-04,2.847784025838834016e-04
5.019210500784530024e-04,2.737611333476049004e-04,3.413012980299181447e-04
3.398918805812623564e-04,2.172896490521333411e-04,2.440720842024264614e-04
3.215671947727266806e-04,2.154534659953950208e-04,2.900550196462494713e-04
3.364030248782425166e-04,1.721517149318768007e-04,1.811835002321304203e-04
7.729965051503490375e-04,1.745409530831938747e-04,2.166337819830202590e-04
2.828006282097144351e-04,2.292287050083965190e-04,2.814470528085765127e-04
